ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
1211,12,11,鹿島,0.11,-0.02184,0.08,-0.17952,2019-04
1212,12,12,鹿島,0.11,-0.02184,0.09,-0.12696,2019-04
1213,12,13,鹿島,0.12,0.03072,0.12,0.03072,2019-04
1214,12,14,鹿島,0.08,-0.17952,0.09,-0.12696,2019-04
1215,12,15,原町,0.11,-0.02184,0.14,0.13584,2019-04
1216,12,16,原町,0.19,0.39864,0.13,0.08328,2019-04
1217,12,17,原町,0.13,0.08328,0.16,0.24096,2019-04
1218,12,18,原町,0.2,0.4512,0.1,-0.0744,2019-04
1219,12,19,原町,0.13,0.08328,0.14,0.13584,2019-04
1220,12,20,原町,0.12,0.03072,0.12,0.03072,2019-04
1221,12,21,原町,0.12,0.03072,0.15,0.1884,2019-04
1222,12,22,原町,0.12,0.03072,0.14,0.13584,2019-04
1223,12,23,原町,0.13,0.08328,0.14,0.13584,2019-04
1224,12,24,原町,0.13,0.08328,0.16,0.24096,2019-04
1225,12,25,原町,0.14,0.13584,0.15,0.1884,2019-04
1226,12,26,原町,0.12,0.03072,0.12,0.03072,2019-04
1227,12,27,原町,0.14,0.13584,0.15,0.1884,2019-04
1228,12,28,原町,0.15,0.1884,0.15,0.1884,2019-04
1229,12,29,原町,0.19,0.39864,0.17,0.29352,2019-04
1230,12,30,原町,0.12,0.03072,0.13,0.08328,2019-04
1231,12,31,原町,0.11,-0.02184,0.13,0.08328,2019-04
1232,12,32,原町,0.16,0.24096,0.18,0.34608,2019-04
1233,12,33,原町,0.23,0.60888,0.17,0.29352,2019-04
1234,12,34,原町,0.17,0.29352,0.19,0.39864,2019-04
1235,12,35,原町,0.15,0.1884,0.16,0.24096,2019-04
1236,12,36,原町,0.13,0.08328,0.16,0.24096,2019-04
1237,12,37,原町,0.34,1.18704,0.22,0.55632,2019-04
1238,12,38,原町,0.18,0.34608,0.19,0.39864,2019-04
1239,12,39,小高,0.16,0.24096,0.14,0.13584,2019-04
1240,12,40,小高,0.21,0.50376,0.09,-0.12696,2019-04
1241,12,41,小高,0.11,-0.02184,0.11,-0.02184,2019-04
1242,12,42,小高,0.13,0.08328,0.13,0.08328,2019-04
1243,12,43,小高,0.15,0.1884,0.18,0.34608,2019-04
1244,12,44,小高,0.17,0.29352,0.23,0.60888,2019-04
1245,12,45,小高,0.15,0.1884,0.16,0.24096,2019-04
1247,12,47,小高,0.19,0.39864,0.23,0.60888,2019-04
1248,12,48,小高,0.14,0.13584,0.09,-0.12696,2019-04
1249,12,49,小高,0.33,1.13448,0.22,0.55632,2019-04
1250,12,50,小高,0.21,0.50376,0.26,0.76656,2019-04
1251,12,51,小高,0.24,0.66144,0.18,0.34608,2019-04
1252,12,52,小高,0.27,0.81912,0.2,0.4512,2019-04
1302,13,02,鹿島,0.1,-0.0744,0.07,-0.23208,2019-04
1303,13,03,鹿島,0.12,0.03072,0.08,-0.17952,2019-04
1304,13,04,鹿島,0.14,0.13584,0.21,0.50376,2019-04
1305,13,05,鹿島,0.12,0.03072,0.12,0.03072,2019-04
1306,13,06,鹿島,0.2,0.4512,0.19,0.39864,2019-04
1307,13,07,鹿島,0.14,0.13584,0.1,-0.0744,2019-04
1308,13,08,鹿島,0.17,0.29352,0.11,-0.02184,2019-04
1309,13,09,鹿島,0.14,0.13584,0.15,0.1884,2019-04
1310,13,10,鹿島,0.12,0.03072,0.18,0.34608,2019-04
1311,13,11,鹿島,0.1,-0.0744,0.13,0.08328,2019-04
1312,13,12,鹿島,0.13,0.08328,0.15,0.1884,2019-04
1313,13,13,鹿島,0.1,-0.0744,0.13,0.08328,2019-04
1314,13,14,鹿島,0.2,0.4512,0.18,0.34608,2019-04
1315,13,15,原町,0.17,0.29352,0.14,0.13584,2019-04
1316,13,16,原町,0.14,0.13584,0.13,0.08328,2019-04
1317,13,17,原町,0.26,0.76656,0.23,0.60888,2019-04
1318,13,18,原町,0.11,-0.02184,0.14,0.13584,2019-04
1319,13,19,原町,0.16,0.24096,0.17,0.29352,2019-04
1320,13,20,原町,0.18,0.34608,0.08,-0.17952,2019-04
1321,13,21,原町,0.18,0.34608,0.16,0.24096,2019-04
1322,13,22,原町,0.11,-0.02184,0.1,-0.0744,2019-04
1323,13,23,原町,0.14,0.13584,0.13,0.08328,2019-04
1324,13,24,原町,0.14,0.13584,0.14,0.13584,2019-04
1325,13,25,原町,0.16,0.24096,0.12,0.03072,2019-04
